Index,Particulars,Type,Actual 2020-2021 Revenue,Actual 2020-2021 Capital,Actual 2020-2021 Total,Budget 2021-2022 Revenue,Budget 2021-2022 Capital,Budget 2021-2022 Total,Revised 2021-2022 Revenue,Revised 2021-2022 Capital,Revised 2021-2022 Total,Budget 2022-2023 Revenue,Budget 2022-2023 Capital,Budget 2022-2023 Total
,,Gross,7149.5,158.07,7307.57,8756.92,344.77,9101.69,17862.19,225.63,18087.82,18608.17,438.83,19047
,,Recoveries,-70.04,-5.44,-75.48,-56.12,-23,-79.12,-56.12,-23,-79.12,-60.12,-19,-79.12
,,Receipts,...,...,...,...,...,...,...,...,...,...,...,...
,,Net,7079.46,152.63,7232.09,8700.8,321.77,9022.57,17806.07,202.63,18008.7,18548.05,419.83,18967.88
,"A. The Budget allocations, net of recoveries, are given below:",,,,,,,,,,,,,
,CENTRE'S EXPENDITURE,,,,,,,,,,,,,
,Establishment Expenditure of the Centre,,,,,,,,,,,,,
1,Secretariat,,,,,,,,,,,,,
1.01,Secretariat,,80.42,...,80.42,106.5,...,106.5,230.04,...,230.04,146,...,146
1.02,Recoveries,,...,...,...,...,...,...,...,...,...,...,...,...
,,Net,80.42,...,80.42,106.5,...,106.5,230.04,...,230.04,146,...,146
,"Attached, Subordinate and Other Offices",,,,,,,,,,,,,
2,Central Water Commission,,,,,,,,,,,,,
2.01,Central Water Commission,,356.81,0.47,357.28,388.38,1.08,389.46,372.58,3.02,375.6,399.5,11.3,410.8
2.02,Recoveries,,-4.04,...,-4.04,...,...,...,...,...,...,...,...,...
,,Net,352.77,0.47,353.24,388.38,1.08,389.46,372.58,3.02,375.6,399.5,11.3,410.8
3,Central Water and Power Research Station,,,,,,,,,,,,,
3.01,Central Water and Power Research Station,,75.42,0.06,75.48,85.01,0.09,85.1,84.99,0.11,85.1,92.1,...,92.1
3.02,Recoveries,,-10.12,...,-10.12,-12.1,...,-12.1,-12.1,...,-12.1,-12.1,...,-12.1
,,Net,65.3,0.06,65.36,72.91,0.09,73,72.89,0.11,73,80,...,80
4,Central Soil and Material Research Station,,21.87,0.02,21.89,22.88,0.01,22.89,22.95,0.01,22.96,31.09,0.01,31.1
5,Sardar Sarovar Construction Advisory Committee,,0.07,...,0.07,...,...,...,...,...,...,...,...,...
6,Bansagar Control Board,,0.3,...,0.3,0.4,...,0.4,0.4,...,0.4,0.5,...,0.5
7,Upper Yamuna River Board,,,,,,,,,,,,,
7.01,Upper Yamuna River Board,,2,6.81,8.81,2.52,8,10.52,1.31,8,9.31,6,4,10
7.02,Recoveries,,-7.77,...,-7.77,-0.02,-8,-8.02,-0.02,-8,-8.02,-4,-4,-8
,,Net,-5.77,6.81,1.04,2.5,...,2.5,1.29,...,1.29,2,...,2
8,Central Ground Water Board,,233.6,...,233.6,237.5,...,237.5,259.68,12,271.68,270,12,282
,,,-0.59,...,-0.59,...,...,...,...,...,...,...,...,...
,,Net,233.01,...,233.01,237.5,...,237.5,259.68,12,271.68,270,12,282
9,National Institute of Hydrology,,25.02,...,25.02,33.5,...,33.5,41,...,41,45,...,45
10,National Water Informatics Centre,,2.11,...,2.11,2.3,0.01,2.31,3.26,...,3.26,3.5,...,3.5
11,National River Conservation Directorate,,5.45,...,5.45,5.5,...,5.5,6.5,...,6.5,7.5,...,7.5
12,North Eastern Regional Institute of Water and Land Management (NERIWALM),,...,...,...,4.5,...,4.5,8.9,...,8.9,11,...,11
13,National Water Development Agency (NWDA),,...,...,...,...,...,...,...,...,...,59,...,59
14,Brahmaputra Board,,...,...,...,...,...,...,...,...,...,50,...,50
